,0,1,2,3,4,5
0,0.09870891356459123,0.0646239363811681,0.11307574054515525,,,
1,0.11577026791461946,0.06988192532727254,0.12412971356712481,,,
2,0.13431071591714197,0.07593147633086252,0.13552321314924692,,,
3,0.15310173934172647,0.08257617648472616,0.14653336683316992,,,
4,0.17256288360409613,0.08749873354031064,0.001781114983382898,0.16007162022796906,,
5,0.1809283803678541,0.08919719802582668,0.009727282080192853,0.17603981900013635,,
6,0.14025650838361509,0.0797949427523192,0.023227217204517283,0.19368607982578281,,
7,0.04496997015663271,0.0822922116506974,0.05315973399329118,0.04315687128664984,0.20133523716940535,
8,0.06071178053813765,0.05308167851458725,0.05712314281359118,0.15456825438430705,,
9,0.04003690452039416,0.03433074047189748,0.011928939070232932,0.014768480393047529,,
10,0.051225482722806394,0.06350911859501014,0.05049314183372529,0.037716367404359304,0.1422127841222716,
11,0.131029936082229,0.04894122685168092,0.028307094509252884,0.15626691970566856,,
12,0.21263949238511323,0.054938768686936104,0.020499233749560815,0.17274268391186307,,
13,0.00230260729305121,0.24975718497648122,0.059309691558743355,0.019600824673117214,0.17669458196234464,
14,0.002525391864093783,0.2546459411872946,0.06327663670969286,0.020979904023186485,0.007855880930782957,0.16607977003212843
