,0,1,2,3,4
0,0.5402385373630539,0.021874200470075815,0.13988367090319678,0.06616995580263449,
1,0.4804299131446687,0.011045025110248505,0.13928453856732798,0.057764146888098264,
2,0.40807452927579974,0.1352605350968476,0.0558479003809454,,
3,0.3363123489558644,0.12655204871066733,0.053933526039575,,
4,0.273006018790032,0.11355924602245056,0.027800986956581134,0.050923021349866905,
5,0.2033569940783615,0.09564148460795326,0.05319081915898625,0.1948482077711371,
6,0.12321080480457092,0.07753133812577735,0.049677041185305575,0.2222350535866849,
7,0.04496997015663271,0.0822922116506974,0.05315973399329118,0.04315687128664984,0.20133523716940535
8,0.057783337046701994,0.05017018702847967,0.0068523083939286385,0.04452974471006902,0.0708122401348531
9,0.040372433307994705,0.043174006683059894,0.002552300426183771,0.0651717835895246,
10,0.03563597512629416,0.03544433044514997,0.017159115076798334,0.061751841170826875,
11,0.034051583234044606,0.028555693148112547,0.03339308425570984,0.053658473069905066,
12,0.033970406292554385,0.023566090834959506,0.04818287685733502,0.04292323094234257,
13,0.034180172142761776,0.018921514370745844,0.06123189079803102,0.030771987460829126,
14,0.03409846351057509,0.015200278173696723,0.07350003358478019,0.018309307565071826,
